metric,value
contract_behavior_rows,355500.0
contracts,395.0
trade_seconds,263431.0
decision_contracts,395.0
avg_minutes_before_decision,4.549561988565401
near_moneyness_rows_abs_z_bps_10,121346.0
uncertain_20_80_rows,0.0
